Area,Data Collection Year,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,2005,Noadda,high ground,Clay loam ,4.5,1.848,0.09,0.37,20.2,6.7,0.24,0.79
Mithpukur,2005,Noadda,high ground,Clay loam ,4.7,1.68,0.1,0.28,14.8,1.4,0.2,0.91
Mithpukur,2005,Noadda,high ground,Clay loam ,5.1,1.94,0.08,0.17,15,20.5,0.26,0.82
Mithpukur,2005,Noadda,high ground,Clay loam ,5,2.01,0.12,0.13,38,5.1,0.32,1.29
Mithpukur,2005,Noadda,high ground,Clay loam ,5.5,1.85,0.11,0.12,9.3,6.2,0.2,0.58
Mithpukur,2005,Noadda,high ground,Clay loam ,5,1.4,0.06,0.32,31.4,5.1,0.28,2.47
Mithpukur,2005,Noadda,Medium high land,Clay loam ,5.3,1.35,0.07,0.13,23.9,2.1,0.24,1.33
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.51,0.09,0.24,19.1,2.8,0.26,0.66
Mithpukur,2005,Sahapur,Medium high land,loam,4.8,2.33,0.14,0.1,8.7,5.5,0.06,0.59
Mithpukur,2005,Noadda,Medium high land,Clay loam ,5,2.5,0.13,0.06,6.8,1.9,0.56,0.74
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.81,0.09,0.06,11.5,1.8,0.3,0.57
Mithpukur,2005,the moon,Medium high land,Clay loam ,5,1.73,0.12,0.06,2.3,2.9,0.3,0.42
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.3,1.66,0.09,0.12,8.1,1.6,0.22,0.48
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.93,0.11,0.26,6,1.7,0.26,1.85
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.95,0.11,0.11,2.4,1.6,0.2,0.59
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.3,1.61,0.09,0.1,3.7,2.4,0.42,0.6
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.5,1.37,0.08,0.05,7.7,1.8,0.14,0.52
Mithpukur,2005,the moon,Medium high land,Clay loam ,5,1.79,0.11,0.05,13.6,10.5,0.34,0.44
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.72,0.09,0.11,5.7,13,0.36,0.57
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,2.15,0.12,0.08,6.3,10.8,0.3,0.52
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,2.55,0.14,0.1,2.8,19.2,0.34,0.5
Mithpukur,2005,the moon,Medium high land,Clay loam ,4.8,1.91,0.11,0.11,18.3,16.1,0.44,0.93
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.2,1.45,0.08,0.06,10.4,8.8,0.4,0.43
Mithpukur,2005,the moon,Medium high land,Clay loam ,4.8,1.55,0.09,0.05,16.1,6.6,0.38,0.51
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.82,0.11,0.07,14,4.3,0.41,0.95
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,1.73,0.11,0.05,39.2,2,0.41,0.83
Mithpukur,2005,the moon,Medium high land,Clay loam ,5.1,2.07,0.12,0.05,10.7,1.6,0.38,0.65
Mithpukur,2005,Sahapur,Medium high land,loam,5.9,2.29,0.11,0.07,9.6,1,0.3,0.88
Mithpukur,2005,Sahapur,Medium high land,loam,4.6,1.91,0.13,0.11,10.2,1.6,0.4,0.78
Mithpukur,2005,Sahapur,Medium high land,loam,5.2,1.51,0.08,0.08,5,1.8,0.28,0.68
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,2.09,0.12,0.05,10.3,3.7,0.46,0.72
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.99,0.1,0.06,3.8,1.9,0.44,0.52
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.71,0.1,0.07,7.5,2,0.46,0.69
Mithpukur,2005,Sahapur,Medium high land,loam,5.3,2.09,0.12,0.07,4.6,1.7,0.36,0.37
Mithpukur,2005,Sahapur,Medium high land,loam,5,1.7,0.09,0.06,7,1.8,0.36,0.75
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.87,0.11,0.06,8.4,10,0.4,0.67
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,2.14,0.13,0.05,10.9,9.5,0.42,1.1
Mithpukur,2005,Sahapur,Medium high land,loam,5.3,1.88,0.11,0.06,12.2,16.7,0.44,0.83
Mithpukur,2005,Sahapur,Medium high land,loam,4.9,1.87,0.12,0.05,8.8,14.3,0.4,0.35
Mithpukur,2005,Sahapur,Medium high land,loam,4.7,2.29,0.13,0.08,3,22,0.5,1.04
Mithpukur,2005,Sahapur,Medium high land,loam,5.1,1.8,0.1,0.1,3.3,16.3,0.28,0.62
Mithpukur,2005,the pen ,Medium high land,Clay loam ,5,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,2005,Khilgaon,Medium high land,brick,4.9,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,2005,Khilgaon,Medium high land,brick,5,1.48,0.08,0.12,2.1,22.4,0.44,0.93
Mithpukur,2005,Khilgaon,Medium high land,brick,5.5,1.69,0.1,0.1,1.8,17.5,0.44,1.16
Mithpukur,2005,Khilgaon,Medium high land,brick,4.8,3.75,0.18,0.14,1.5,39,0.41,0.93
Mithpukur,2005,Khilgaon,Medium low land,brick,4.8,2.98,0.16,0.16,2.2,35.8,0.46,1.03
Mithpukur,2005,Pirgacha,high ground,loam,5.2,1.18,0.06,0.18,120.2,5.9,0.4,1.14
Mithpukur,2005,Pirgacha,high ground,loam,4.8,1.26,0.06,0.15,176.6,19.4,0.34,1.34
Mithpukur,2005,Pirgacha,high ground,loam,4.7,1.28,0.09,0.19,66.9,25.5,0.28,1.11
Mithpukur,2005,Pirgacha,high ground,loam,5.5,1.48,0.08,0.5,128.1,44.2,0.52,0.97
Mithpukur,2005,Pirgacha,high ground,loam,5.3,1.32,0.07,0.3,122.3,17.2,0.54,0.83
Mithpukur,2005,Pirgacha,high ground,loam,5.3,2.18,0.1,0.28,162.8,14.8,0.44,2.06
Mithpukur,2005,Pirgacha,high ground,loam,5,1.57,0.08,0.15,38.1,12.6,0.3,0.81
Mithpukur,2005,Palashbari,high ground,loam,5.1,1.22,0.07,0.38,70,11.3,0.36,0.75
Mithpukur,2005,Palashbari,high ground,loam,6.2,1.47,0.09,0.08,40.7,15.3,0.46,0.67
Mithpukur,2005,Palashbari,high ground,loam,5.3,1.82,0.11,0.08,44.7,48,0.72,0.82
