Area,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Pirgacha ,Gangachara,high ground,loam,5.4,2.50,0.17,0.39,17.5,15.0,0.32,1.06
Pirgacha ,Gangachara,high ground,loam,4.7,2.71,0.10,0.15,14.0,7.1,0.25,1.01
Pirgacha ,Gangachara,high ground,loam,4.7,1.85,0.09,0.19,11.2,9.4,0.30,0.94
Pirgacha ,Palashbari,high ground,loam,4.8,1.87,0.10,1.01,77.9,39.2,0.32,3.07
Pirgacha ,Palashbari,high ground,loam,4.8,1.69,0.10,0.12,10.1,4.3,0.21,0.85
Pirgacha ,Palashbari,high ground,loam,4.7,1.80,0.10,0.11,14.1,17.2,0.35,1.03
Pirgacha ,Palashbari,high ground,loam,4.8,1.62,0.09,0.99,32.2,12.9,0.34,2.18
Pirgacha ,Palashbari,high ground,loam,4.5,2.16,0.10,0.22,22.4,1.8,0.30,1.13
Pirgacha ,Palashbari,high ground,loam,4.6,1.59,0.09,0.12,16.0,7.1,0.30,1.68
Pirgacha ,Palashbari,high ground,loam,5.7,2.56,0.09,0.75,59.8,40.4,0.44,2.25
Pirgacha ,Palashbari,high ground,loam,5.5,1.60,0.09,0.18,59.4,23.1,0.30,1.55
Pirgacha ,Palashbari,high ground,loam,4.8,2.11,0.10,0.38,93.3,9.4,0.24,1.89
Pirgacha ,Palashbari,high ground,loam,4.8,1.48,0.10,0.14,26.5,7.6,0.31,1.24
Pirgacha ,Berries,high ground,loam,4.5,1.46,0.13,0.14,17.1,12.7,0.20,0.72
Pirgacha ,Berries,high ground,loam,5.0,2.31,0.17,0.09,4.4,17.2,0.35,1.03
Pirgacha ,Berries,high ground,loam,4.9,2.06,0.10,0.12,27.4,1.8,0.28,1.36
Pirgacha ,Berries,high ground,loam,4.3,1.36,0.07,0.33,11.0,5.2,0.20,0.78
Pirgacha ,Berries,high ground,loam,4.5,1.49,0.11,0.20,26.8,13.1,0.55,0.94
Pirgacha ,Gangachara,high ground,loam,5.2,2.0,0.12,0,9.6,14.7,0.25,0.98
Pirgacha ,Gangachara,high ground,loam,4.5,1.84,0.12,0.17,6.1,5.0,0.24,1.03
Pirgacha ,Gangachara,high ground,loam,4.8,2.66,0.12,0.15,20.0,10.1,0.21,0.86
Pirgacha ,Gangachara,high ground,loam,4.9,2.25,0.09,0.11,97.8,8.4,0.30,1.53
Pirgacha ,Gangachara,high ground,loam,5.1,1.89,0.09,0.12,4.6,6.8,0.28,0.79
Pirgacha ,Gangachara,high ground,loam,5.0,2.0,0.13,0.15,15.8,23.2,0.43,1.70
Pirgacha ,Gangachara,high ground,loam,4.7,1.06,0.09,0.15,7.9,3.8,0.30,1.05
Pirgacha ,Gangachara,high ground,loam,4.8,1.46,0.11,0.16,13.6,4.2,0.31,1.01
Pirgacha ,Gangachara,high ground,loam,4.7,1.56,0.08,0.19,8.8,1.8,0.26,1.41
Pirgacha ,Gangachara,high ground,loam,4.5,2.20,0.10,0.07,88.7,4.4,0.21,1.36
Pirgacha ,Gangachara,high ground,loam,4.8,1.02,0.07,0.12,18.3,2.9,0.20,0.51
Pirgacha ,Gangachara,high ground,loam,4.5,1.46,0.13,0.16,34.5,11.2,0.20,0.63
Pirgacha ,Gangachara,high ground,loam,5.1,2.25,0.10,0.12,7.0,2.9,0.27,0.93
Pirgacha ,Gangachara,high ground,loam,5.8,1.69,0.10,0.08,4.5,3.1,0.20,0.78
Pirgacha ,Gangachara,high ground,loam,6.0,1.73,0.09,0.60,5.6,0.65,0.22,0.51
Pirgacha ,Gangachara,high ground,loam,4.5,2.21,0.13,0.36,74.5,27.4,0.30,0.98
Pirgacha ,Gangachara,high ground,loam,5.2,2.19,0.11,0.08,8.4,1.2,0.21,0.64
Pirgacha ,Gangachara,Medium high land,loam,5.2,1.78,0.10,0.15,44.9,10.9,0.30,1.15
Pirgacha ,Palashbari,high ground,loam,5.2,1.94,0.07,0.26,84.3,2.4,0.28,1.72
Pirgacha ,Palashbari,high ground,loam,5.0,1.38,0.06,0.22,84.2,3.6,0.20,1.93
Pirgacha ,Gangachara,high ground,loam,4.8,1.00,0.06,0.27,21.9,5.8,0.24,0.66
Pirgacha ,Gangachara,Medium high land,loam,4.7,0.98,0.07,0.34,37.4,8.4,0.21,0.62
Pirgacha ,Gangachara,Medium high land,loam,5.0,1.32,0.09,0.24,14.3,11.4,0.30,0.61
Pirgacha ,Gangachara,Medium high land,loam,6.0,0.82,0.10,0.22,18.1,18.6,0.26,0.43
Pirgacha ,Gangachara,Medium high land,loam,5.1,1.62,0.11,0.23,7.7,8.3,0.30,0.63
Pirgacha ,Gangachara,Medium high land,loam,4.3,1.83,0.09,0.17,23.8,4.17,0.20,1.41
Pirgacha ,Gangachara,Medium high land,loam,4.9,2.93,0.09,0.09,3.9,16.3,0.28,2.61
Pirgacha ,Gangachara,Medium high land,loam,5.0,1.92,0.10,0.11,9.9,12.8,0.22,1.19
Pirgacha ,Gangachara,Medium high land,loam,4.7,2.55,0.09,0.12,5.7,7.1,0.20,1.13
Pirgacha ,Gangachara,Medium high land,loam,5.4,2.12,0.09,0.13,6.9,30.6,0.31,3.20
Pirgacha ,Gangachara,Medium high land,loam,5.0,2.33,0.08,0.13,3.0,11.00,0.27,0.75
Pirgacha ,Gangachara,Medium high land,loam,4.9,2.48,0.08,0.11,6.6,13.4,0.30,0.80
Pirgacha ,Gangachara,Medium high land,loam,4.7,2.29,0.09,0.12,7.6,19.4,0.20,1.34
Pirgacha ,Gangachara,Medium high land,loam,5.0,2.37,0.10,0.13,32.4,15.3,0.25,0.91
Pirgacha ,Gangachara,Medium high land,loam,5.1,2.28,0.08,0.60,42.1,28.8,0.35,1.26
Pirgacha ,Gangachara,Medium high land,loam,5.0,2.50,0.09,0.27,15.6,15.9,0.32,1.71
Pirgacha ,Gangachara,Medium high land,loam,4.6,2.59,0.08,0.21,30.2,10.2,0.20,0.92
Pirgacha ,Gangachara,Medium high land,loam,4.7,2.23,0.09,0.27,30.3,15.2,0.23,1.68
Pirgacha ,Gangachara,Medium high land,loam,4.9,1.94,0.10,0.09,6.6,30.7,0.26,1.01
Pirgacha ,Gangachara,Medium high land,loam,5.9,2.66,0.10,0.14,9.7,23.3,0.31,0.80
Pirgacha ,Gangachara,Medium high land,loam,4.5,1.70,0.10,0.13,6.4,5.7,0.25,1.02
Pirgacha ,Gangachara,Medium high land,loam,4.8,2.41,0.09,0.09,4.0,12.6,0.27,0.95
Pirgacha ,Gangachara,Medium high land,loam,5.4,2.83,0.10,0.29,8.1,24.6,0.43,1.02
Pirgacha ,Gangachara,Medium high land,loam,5.2,1.64,0.09,0.20,7.2,16.6,0.35,1.12
Pirgacha ,Gangachara,Medium high land,loam,4.6,4.37,0.08,0.12,21.8,6.5,0.20,0.89
Pirgacha ,Gangachara,Medium high land,loam,4.8,2.04,0.09,0.24,37.2,4.8,0.20,1.00
Pirgacha ,Gangachara,Medium high land,loam,4.9,1.40,0.08,0.20,5.0,11.3,0.20,0.96
Pirgacha ,Gangachara,Medium high land,loam,5.3,1.96,0.09,0.19,6.9,16.4,0.30,0.73
Pirgacha ,Gangachara,Medium high land,loam,5.0,1.94,0.09,0.54,36.0,45.1,0.31,1.43
Pirgacha ,Gangachara,Medium high land,loam,5.1,2.25,0.10,0.27,10.9,9.6,0.22,0.94
Pirgacha ,Gangachara,Medium high land,loam,5.4,2.37,0.09,0.13,12.3,20.5,0.30,0.67
Pirgacha ,Gangachara,Medium high land,loam,4.9,2.09,0.09,0.25,15.1,9.6,0.20,1.02
Pirgacha ,Gangachara,Medium high land,loam,4.9,2.18,0.09,0.14,7.2,11.4,0.26,1.05
Pirgacha ,Gangachara,Medium high land,loam,4.9,1.92,0.10,0.10,5.7,16.1,0.25,0.65
Pirgacha ,Gangachara,Medium high land,loam,5.2,2.14,0.09,0.07,5.9,11.5,0.28,0.85
Pirgacha ,Gangachara,Medium high land,loam,5.1,1.96,0.10,0.25,6.1,14.8,0.29,0.93
Pirgacha ,Gangachara,Medium high land,loam,5.0,1.70,0.17,0.27,11.9,10.4,0.35,0.56
Pirgacha ,Gangachara,Medium high land,loam,5.1,1.94,0.9,0.33,19.2,9.2,0.30,0.44
Pirgacha ,Kaunia,Medium low land,Clay loam ,4.9,2.75,0.07,0.12,2.6,21.2,0.30,1.86
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.1,2.59,0.06,0.32,5.1,22.3,0.32,1.11
Pirgacha ,Kaunia,Medium low land,Clay loam ,4.9,3.19,0.07,0.12,5.0,22.7,0.41,1.17
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.9,2.56,0.07,0.30,13.3,33.1,0.29,1.14
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.0,1.84,0.08,0.11,7.5,11.1,0.30,0.97
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.7,2.81,0.07,0.16,17.9,5.9,0.30,1.68
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.8,2.82,0.06,0.14,8.0,12.4,0.20,1.35
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.3,4.48,0.10,0.28,35.9,13.6,0.20,1.79
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.2,2.16,0.06,0.22,12.3,17.8,0.23,0.92
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.5,3.30,0.08,0.22,6.6,25.2,0.46,0.90
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.9,3.01,0.08,0.13,4.7,23.3,0.29,0.95
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.1,2.99,0.08,0.13,2.7,29.5,0.30,0.52
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.3,2.89,0.06,0.56,10.9,20.5,0.30,1.35
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.4,2.84,0.07,0.22,6.7,19.4,0.23,0.89
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.7,2.19,0.07,0.16,8.1,25.8,0.34,0.58
Pirgacha ,Kaunia,Medium high land,Clay loam ,5.3,2.45,0.06,0.19,6.3,13..8,0.20,0.79
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.9,3.58,0.08,0.10,4.3,21.9,0.23,1.11
Pirgacha ,Kaunia,Medium high land,Clay loam ,4.7,1.89,0.12,0.28,24.0,10.4,0.32,0.70
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.2,2.75,0.25,0.29,5.6,40.8,0.31,1.06
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.2,3.42,0.21,0.15,12.4,35.5,0.34,1.04
Pirgacha ,Kaunia,Medium low land,Clay loam ,4.8,2.34,0.22,0.35,12.4,16.0,0.30,1.09
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.3,3.49,0.20,0.37,7.0,30.5,0.30,1.08
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.1,3.47,0.17,0.16,7.4,22.4,0.29,0.51
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.1,1.98,0.22,0.16,9.8,14.9,0.31,0.61
Pirgacha ,Kaunia,Medium low land,Clay loam ,5.4,3.15,0.25,0.12,2.6,21.5,0.35,1.13
Pirgacha ,The militants,Medium high land,brick,5.4,3.85,0.25,0.28,3.1,12.4,0.63,1.08
Pirgacha ,The militants,Medium high land,brick,5.0,5.25,0.18,0.25,12.4,36.8,0.61,1.45
Pirgacha ,The militants,Medium high land,brick,5.1,5.06,0.20,0.28,12.8,32.7,0.56,1.15
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,6.0,1.26,12.6,14.2,0.26,0.40,0.35,0.35
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,5.9,0.69,0.04,0.18,12.8,54.5,0.26,1.25
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,5.9,0.61,0.06,0.25,12.7,60.3,0.20,0.41
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,6.0,0.51,0.04,0.17,13.2,54.4,0.27,0.41
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,6.1,0.74,0.05,0.13,8.6,4.8,0.21,0.39
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,5.3,0.92,0.05,0.26,7.6,15.5,0.26,0.44
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,6.5,1.58,0.06,0.13,10.10,16.8,0.31,0.5
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,5.5,0.98,0.06,0.18,7.6,5.4,0.25,0.61
Pirgacha ,Alluvial soil of Teesta,Medium high land,loam,5.3,1.14,0.07,0.22,7.9,16.3,0.30,0.55
Pirgacha ,Alluvial soil of Teesta,Medium low land,loam,5.8,0.58,0.04,0.18,13.3,7.8,0.20,0.40
Pirgacha ,Alluvial soil of Teesta,Medium low land,loam,6.1,0.23,0.01,0.05,7.6,7.7,0.23,0.18
Pirgacha ,Alluvial soil of Teesta,Medium low land,loam,6.0,0.14,0.04,0.04,7.5,8.3,0.24,0.21
Gangachara,Pirgacha,high ground,,5.1,0.95,0.0016,0.46,101,18,0.5,1
Gangachara,Pirgacha,high ground,,5.1,0.70,0.0010,034,77,12,0.2,1
Gangachara,Palashbari,high ground,,5.5,0.95,0.0032,0.51,60,17,Very Low,4
Gangachara,Gangachara,high ground,,5.6,1.4,0.0033,0.53,15,20,0.2,4
Gangachara,Pirgacha,high ground,,5.4,1.7,0.0032,0.53,23,25,0.2,3
Gangachara,Palashbari,high ground,,5.2,0.80,0.0012,0.53,150,12,0.2,1
Gangachara,Palashbari,high ground,,5.1,0.90,0.0015,0.33,80,15,Very Low,1
Gangachara,Palashbari,high ground,,5.0,0.57,0.0018,0.44,26,9,Very Low,1
Gangachara,Palashbari,high ground,,5.8,0.80,0.0019,0.52,170,10,Very Low,1
Gangachara,Palashbari,high ground,,4.9,0.20,0.0015,0.53,103,35,0.8,1
Gangachara,Palashbari,high ground,,5.2,1.3,0.0010,0.35,185,13,Very Low,1
Gangachara,Gangachara,high ground,,5.0,1.2,0.0020,0.21,11,15,0.2,1
Gangachara,Gangachara,high ground,,5.5,0.90,0.0017,0.28,10,12,Very Low,1
Gangachara,Gangachara,high ground,,5.0,0.40,0.0017,0.37,15,16,0.2,1
Gangachara,Gangachara,Medium high land,,5.6,1.5,0.0035,0.51,60,8,Very Low,4
Gangachara,Palashbari,high ground,,5.8,0.16,0.0032,0.57,32,24,0.2,4
Gangachara,Gangachara,high ground,,4.9,0.40,0.0011,0.46,10,12,Very Low,1
Gangachara,Gangachara,high ground,,4.7,1.5,0.0009,0.42,80,18,0.2,1
Gangachara,Gangachara,high ground,,4.6,1.7,0.0004,0.17,87,4,Very Low,1
Gangachara,Gangachara,high ground,,5.1,1.9,0.0004,0.40,39,5,Very Low,1
Gangachara,Gangachara,high ground,,5.7,1.4,Very Low,0.34,40,60,Very Low,1
Gangachara,Gangachara,Medium high land,,5.9,3.4,0.0029,0.52,15,28,0.2,4
Gangachara,Palashbari,high ground,,5.6,2.2,0.0030,0.72,25,21,0.1,4
Gangachara,Gangachara,high ground,,5.2,1.0,0.0036,0.42,40,28,0.2,4
Gangachara,Gangachara,Medium high land,,6.0,1.0,0.0036,0.52,10,25,0.2,3
Gangachara,Gangachara,Medium high land,,5.2,0.57,0.0014,0.28,80,12,Very Low,1
Gangachara,Gangachara,Medium high land,,5.6,0.10,0.0012,0.28,10,16,0.3,1
Gangachara,Gangachara,Medium high land,,5.4,2.4,Very Low,0.34,24,2,Very Low,1
Gangachara,Gangachara,Medium high land,,4.8,2.9,Very Low,0.47,27,2,Very Low,1
Gangachara,Gangachara,Medium high land,,6.1,0.95,0.0035,0.52,15,18,0.2,4
Gangachara,Gangachara,Medium high land,,5.1,1.3,0.0015,0.62,25,11,Very Low,1
Gangachara,Gangachara,Medium high land,,5.4,1.0,0.0018,034,45,14,0.3,1
Gangachara,Gangachara,Medium high land,,5.6,1.5,0.0019,0.35,23,17,0.4,1
Gangachara,Gangachara,Medium high land,,5.1,0.70,0.0013,0.30,15,9,Very Low,1
Gangachara,Gangachara,Medium high land,,5.0,1.0,0.0009,0.43,20,8,Very Low,1
Gangachara,Gangachara,Medium high land,,5.8,1.5,0.0012,0.30,15,10,Very Low,1
Gangachara,Gangachara,Medium high land,,5.2,1.4,0.0018,0.29,15,16,0.2,1
Gangachara,Gangachara,Medium high land,,5.2,0.40,0.0013,0.35,14,14,0.1,1
Gangachara,Gangachara,Medium high land,,6.0,1.6,0.0008,0.47,10,20,0.4,1
Gangachara,Kaunia,Medium high land,,6.4,1.2,0.0014,0.27,16,21,0.5,1
Gangachara,Kaunia,Medium high land,,5.9,0.95,Very Low,0.67,58,5,Very Low,1
Gangachara,Gangachara,Medium high land,,6.1,1.0,0.0035,0.57,15,18,0.1,3
Gangachara,Kaunia,Medium high land,,5.8,0.95,0.0034,0.48,8,17,Very Low,3
Gangachara,Alluvial soil of Teesta,Medium high land,,6.8,1.8,0.0028,0.60,12,85,1.5,3
Gangachara,Alluvial soil of Teesta,Medium high land,,6.2,0.80,0.0037,0.48,30,43,0.4,4
Gangachara,Teesta sandy soil,Medium high land,,6.6,0.57,0.0002,0.23,20,5,Very Low,1
Gangachara,Teesta sandy soil,Medium high land,,6.4,0.20,0.0033,0.50,15,16,Very Low,3
Gangachara,Teesta sandy soil,Medium high land,,6.8,0.20,0.0030,0.51,10,25,0.2,3
Gangachara,Teesta sandy soil,Medium high land,,6.5,0.10,0.0039,0.50,16,15,Very Low,3
Gangachara,Teesta sandy soil,Medium high land,,6.4,0.47,0.0037,0.32,16,19,0.1,3
Gangachara,Alluvial soil of Teesta,Medium high land,,5.9,0.27,Very Low,0.47,25,12,Very Low,1
Gangachara,Alluvial soil of Teesta,Medium high land,,5.7,0.40,Very Low,0.43,185,25,1.9,1
Gangachara,Alluvial soil of Teesta,Medium high land,,7.0,0.27,0.0034,0.51,16,75,1.2,5
Gangachara,Teesta sandy soil,Medium high land,,6.6,0.20,Very Low,0.25,15,2,Very Low,1
Gangachara,Teesta sandy soil,Medium high land,,6.4,0.16,0.0038,0.32,10,16,Very Low,3
Gangachara,Alluvial soil of Teesta,Medium high land,,5.8,0.40,0.0033,0.69,10,34,0.3,3
Gangachara,Alluvial soil of Teesta,Medium high land,,5.8,0.10,0.0033,0.49,13,49,0.5,4
Gangachara,Alluvial soil of Teesta,Medium high land,,5.9,0.80,0.0038,0.57,185,42,0.5,4
Gangachara,Alluvial soil of Teesta,Medium high land,,5.8,0.20,0.0032,0.52,10,33,0.3,4
Gangachara,Kaunia,Medium low land,,5.6,1.2,0.0028,0.56,10,30,0.2,4
Kaunia upazila,Pirgacha,high ground,loam,4.70,0.76 ,0.04 ,0.07,84.74,21.33,0.51,2.10
Kaunia upazila,Pirgacha,high ground,loam,4.80, 1.03,0.05,0.37,254.7,38.85,1.27,10.58
Kaunia upazila,Pirgacha,high ground,loam,5.30,1.00,0.06,0.40,202.2,12.32,0.88,3.58
Kaunia upazila,Palashbari,high ground,loam,5.40,1.44,0.07,0.78,218.9,23.93,1.48,5.10
Kaunia upazila,Palashbari,high ground,loam,4.70,1.65,0.08,0.12,12.5,11.09,0.17,0.22
Kaunia upazila,Berries ,high ground,loam,4.70,0.96,0.05,0.12,60.21,8.21,0.88,0.91
Kaunia upazila,Berries ,high ground,loam,5.10,1.72,0.09,0.30,105.4,18.72,0.69,2.21
Kaunia upazila,Pirgacha,high ground,loam,6.0,0.76 ,0.04 ,0.21,94.41,9.74,0.20 ,1.07
Kaunia upazila,Pirgacha,high ground,loam,6.20,1.03,0.05,0.32,102.8,16.93,0.51,1.71
Kaunia upazila,Pirgacha,high ground,loam,4.50,1.85,0.09,0.31,148.3,9.36,0.18,1.72
Kaunia upazila,Palashbari,high ground,loam,5.50,1.23,0.06,0.60,179.4,22.80,0.33,3.50
Kaunia upazila,Palashbari,high ground,loam,4.50,0.96,0.05,0.48,70.86,19.48,0.13,1.64
Kaunia upazila,Berries ,high ground,loam,5.10,1.72,0.09,0.51,90.15,24.01,2.66 ,7.39
Kaunia upazila,Berries ,high ground,loam,5.80,1.92,0.10,0.16,7.63,12.74,0.16,0.76
Kaunia upazila,Gangachara,high ground,loam,6.00,1.51,0.08,0.23,40.00,11.32,0.18,0.83
Kaunia upazila,Gangachara,Medium high land,loam,5.60, 1.24,0.06,0.13,22.33,6.01, 0.12,5.42
Kaunia upazila,Palashbari,high ground,loam,5.20,1.72,0.09,0.39,175.00,19.21,0.15,8.14
Kaunia upazila,Palashbari,high ground,loam,5.60,1.38,0.07,0.25,0.65.87,20.99,0.13,1.45
Kaunia upazila,Palashbari,high ground,loam,4.80,1.17,0.06,0.30,91.89,20.23,0.17,1.91
Kaunia upazila,Berries ,high ground,loam,5.30,1.72,0.09,0.12,13.36,13.43,0.10,1.80
Kaunia upazila,Berries ,high ground,loam,5.30,1.92,0.10,0.15,19.42,12.59,0.16,3.60
Kaunia upazila,Berries ,high ground,loam,5.50,1.51,0.08,0.10,79.41,14.57,0.11,1.24
Kaunia upazila,Gangachara,high ground,loam,5.10,1.72,0.09,0.20,112.0,26.67,0.14,2.23
Kaunia upazila,Gangachara,high ground,loam,5.10,2.85,0.14,0.13,18.84,12.89,0.17,1.24
Kaunia upazila,Berries ,Medium high land,loam,7.20,1.99,0.10,0.29,81.52,20.23,0.12,1.44
Kaunia upazila,Berries ,Medium high land,loam,5.10,1.92,0.10,0.11,9.13,9.17,0.38,1.11
Kaunia upazila,Gangachara,Medium high land,loam,5.60,2.23,0.11,0.15,64.51,20.01,0.16,1.56
Kaunia upazila,Berries ,high ground,loam,5.10,0.76 ,0.04 ,0.13,62.85,16.21,0.11,1.62
Kaunia upazila,Gangachara,high ground,loam,5.70,2.20,0.11,0.23,20.93,17.28,0.10,1.06
Kaunia upazila,Gangachara,high ground,loam,5.30,2.87,0.14,0.17,24.86,10.48,0.18,0.91
Kaunia upazila,Gangachara,high ground,loam,5.30,2.13,0.11,0.14,86.06,10.55,0.12,2.14
Kaunia upazila,Gangachara,high ground,loam,5.30,2.87,0.14,0.11,4.59,15.94,0.10,0.87
Kaunia upazila,Gangachara,high ground,loam, 5.50,1.71,0.09,0.14,29.37,3.22,0.12,1.13
Kaunia upazila,Gangachara,Medium high land,loam,5.00,2.75,0.14,0.24,26.75,4.81,0.17,2.08
Kaunia upazila,Gangachara,Medium high land,loam,5.30,1.79,0.09,0.18,44.23,11.02,0.15,1.05
Kaunia upazila,Gangachara,Medium high land,loam,5.20,1.65,0.08,0.14,26.46,5.23,0.23,1.11
Kaunia upazila,Gangachara,Medium high land,loam,5.50,2.88,0.14,0.10,8.78,7.05,0.10,0.70
Kaunia upazila,Gangachara,Medium high land,loam,5.50,2.87,0.14,0.12,44.44,13.27,0.32,1.08
Kaunia upazila,Gangachara,Medium high land,loam,5.50,2.06,0.10,0.14,5.40,8.63,0.10,0.75
Kaunia upazila,Gangachara,Medium high land,loam,5.30,1.58,0.08,0.15,6.24,24.08,0.37,0.53
Kaunia upazila,Gangachara,Medium high land,loam,5.70,2.20,0.11,0.11,16.38,11.09,0.11,1.10
Kaunia upazila,Gangachara,Medium high land,loam,5.00,1.99,0.10,0.13,14.51,8.94,0.45,1.54
Kaunia upazila,Gangachara,Medium high land,loam,5.70,1.79,0.09,0.18,25.71,2.10,0.33,0.98
Kaunia upazila,Kaunia,Medium high land,loam clay,5.40,2.82,0.14,0.13,9.70,8.67,0.10,0.94
Kaunia upazila,Gangachara,Medium high land,loam,5.80,0.89,0.05,0.24,68.39,8.86,0.96,1.04
Kaunia upazila,Gangachara,Medium high land,loam,6.00,2.80,0.14,0.28,49.37,7.55,1.39,5.17
Kaunia upazila,Gangachara,Medium high land,loam,5.30,1.99,0.10,0.21,22.52,8.48,0.62,1.26
Kaunia upazila,Gangachara,Medium high land,loam,5.10,0.75,0.04 ,0.21,8.60,6.20,0.20 ,0.83
Kaunia upazila,Kaunia,Medium high land,loam,5.20,1.99,0.10,0.15,16.24,1.75,0.08,0.64
Kaunia upazila,Gangachara,Medium high land,loam,4.70, 1.99,0.14,.0.15,6.19,9.28,0.40, 0.90
Kaunia upazila,Gangachara,Medium high land,loam,5.00,2.82,0.14,0.13,......,11.78,0.23,0.63
Kaunia upazila,Gangachara,Medium high land,loam,5.10,2.68,0.13,0.13,4.37,9.63,0.88,0.91
Kaunia upazila,Gangachara,Medium high land,loam,5.00,2.61,0.13,0.14,8.96,10.36,0.23,0.95
Kaunia upazila,Gangachara,Medium high land,loam,4.70,1.51,0.08,0.17,6.19,5.39,0.25,0.66
Kaunia upazila,Gangachara,Medium high land,loam,4.80,2.75,0.14,0.16,20.60,8.94,0.23,1.45
Kaunia upazila,Gangachara,Medium high land,loam,4.90,2.61,0.13,0.21,46.46,4.58,0.44,0.91
Kaunia upazila,Imadpur,Medium high land,loam clay,5.80,1.79, 0.09,0.16,15.57,9.51,1.32,0.83
Kaunia upazila,Imadpur,Medium high land,loam clay,6.60,1.58,0.08,0.14,24.16,16.33,0.93,0.70
Kaunia upazila,Imadpur,Medium high land,loam clay,5.70,1.02,0.05,0.20,10.50,10.36,0.36,0.54
Kaunia upazila,Imadpur,Medium high land,brick,5.10,2.87,0.14,0.16,4.85,12.13,0.10,0.92
Kaunia upazila,Imadpur,Medium high land,loam clay,5.00,2.75,0.14,0.14,4.71,4.11,0.16,1.16
Kaunia upazila,Imadpur,Medium high land,loam clay,4.90,2.82,0.14,0.15,4.65,5.78,0.13,0.76
Kaunia upazila,Imadpur,Medium high land,loam clay,4.90,1.85,0.09,0.20,4.24,4.58,0.14,0.82
Kaunia upazila,Kaunia,Medium high land,loam clay,4.80,1.72,0.09,0.15,9.15,14.95,0.17,1.09
Kaunia upazila,Kaunia,Medium high land,loam clay,4.70,2.81,0.14,0.20,7.02,10.36,0.48,1.27
Kaunia upazila,Kaunia,Medium high land,loam clay,5.00,2.83,0.14,0.21,6.54,10.90,1.25,0.83
Kaunia upazila,Kaunia,Medium high land,loam,5.30,2.82, 0.14, 0.34, 9.84,12.55,1.24,1.10
Kaunia upazila,Kaunia,Medium high land,loam,5.00,2.68,0.13,0.22,3.44,8.28,0.14,0.70
Kaunia upazila,Kaunia,Medium high land,loam,4.80,2.84,0.14,0.28,9.27,7.36,0.48,1.24
Kaunia upazila,Kaunia,Medium high land,loam,4.60,1.92,0.10,0.23,7.17,7.40,0.11,0.67
Kaunia upazila,Kaunia,Medium high land,loam clay,4.90,2.82,0.14,0.16,9.01,7.09,0.26,1.04
Kaunia upazila,Kaunia,Medium high land,loam clay,5.10,1.78,0.09,0.21,15.49,1.77,0.26,0.64
Kaunia upazila,Kaunia,Medium high land,loam clay,5.03,2.75,0.14,0.35,8.97,6.90,1.10,0.65
Kaunia upazila,The militants ,Medium high land,loam clay,4.90,3.08,0.15,0.47,5.18,10.29,1.68,0.97
Kaunia upazila,Kachna,Medium high land,loam clay,5.10,2.85,0.14,0.51,5.79,16.40,0.58,1.88
Kaunia upazila,Chilmari,high ground,loam,4.90,1.86,0.09,0.22,16.46,13.77,0.39,0.75
Kaunia upazila,Saghata ,high ground,loam,5.40,1.58,0.08,0.26,5.70,9.82,0.41,0.91
Kaunia upazila,Saghata ,high ground,loam,5.90,1.16,0.06,0.26,21.56,11.878,1.47,0.40
Kaunia upazila,Saghata ,high ground,loam,5.20,1.51,0.08,0.29,13.27,23.56,0.75,0.54
Kaunia upazila,Saghata ,high ground,loam,5.20,0.90,0.05,0.28,120.8,9.44,0.44,1.30
Kaunia upazila,Saghata ,high ground,loam,4.60,0.78,0.04 ,0.17,30.40,6.39,0.75,0.58
Kaunia upazila,Saghata ,high ground,loam,5.00,1.03,0.05,0.16,44.00,4.50,0.41,0.74
