Area,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,Sahapur,Medium high land,loam,5.3,2.09,0.12,0.07,4.6,1.7,0.36,0.37
Mithpukur,Sahapur,Medium high land,loam,5.0,1.70,0.09,0.06,7.0,1.8,0.36,0.75
Mithpukur,Sahapur,Medium high land,loam,4.9,1.87,0.11,0.06,8.4,10.0,0.40,0.67
Mithpukur,Sahapur,Medium high land,loam,4.9,2.14,0.13,0.05,10.9,9.5,0.42,1.10
Mithpukur,Sahapur,Medium high land,loam,5.3,1.88,0.11,0.06,12.2,16.7,0.44,0.83
Mithpukur,Sahapur,Medium high land,loam,4.9,1.87,0.12,0.05,8.8,14.3,0.40,0.35
Mithpukur,Sahapur,Medium high land,loam,4.7,2.29,0.13,0.08,3.0,22.0,0.50,1.04
Mithpukur,Sahapur,Medium high land,loam,5.1,1.80,0.10,0.10,3.3,16.3,0.28,0.62
Mithpukur,the pen ,Medium high land,Clay loam ,5.0,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,Khilgaon,Medium high land,brick,4.90,2.38,0.15,0.07,14.6,11.9,0.48,0.96
Mithpukur,Khilgaon,Medium high land,brick,5.00,1.48,0.08,0.12,2.1,22.4,0.44,0.93
Mithpukur,Khilgaon,Medium high land,brick,5.50,1.69,0.10,0.10,1.8,17.5,0.`44,1.16
Mithpukur,Khilgaon,Medium high land,brick,4.80,3.75,0.18,0.14,1.5,39.0,0.41,0.93
Mithpukur,Khilgaon,Medium low land,brick,4.80,2.98,0.16,0.16,2.2,35.8,0.46,1.03
Mithpukur,Pirgacha,high ground,loam,5.20,1.18,0.06,0.18,120.2,5.9,0.40,1.14
Mithpukur,Pirgacha,high ground,loam,4.80,1.26,0.06,0.15,176.6,19.4,0.34,1.34
Mithpukur,Pirgacha,high ground,loam,4.70,1.28,0.09,0.19,66.9,25.5,0.28,1.11
Mithpukur,Pirgacha,high ground,loam,5.50,1.48,0.08,0.50,128.1,44.2,0.52,0.97
Mithpukur,Pirgacha,high ground,loam,5.30,1.32,0.07,0.30,122.3,17.2,0.54,0.83
Mithpukur,Pirgacha,high ground,loam,5.30,2.18,0.10,0.28,162.8,14.8,0.44,2.06
Mithpukur,Pirgacha,high ground,loam,5.00,1.57,0.08,0.15,38.1,12.6,0.30,0.81
Mithpukur,Palashbari,high ground,loam,5.10,1.22,0.07,0.38,70.0,11.3,0.36,0.75
Mithpukur,Palashbari,high ground,loam,6.20,1.47,0.09,0.08,40.7,15.3,0.46,0.67
Mithpukur,Palashbari,high ground,loam,5.30,1.82,0.11,0.08,44.7,48.0,0.72,0.82
Mithpukur,Palashbari,high ground,loam,5.80,1.71,0.09,0.08,39.4,20.0,0.41,0.78
Mithpukur,Palashbari,high ground,loam,4.90,1.47,0.09,0.29,137.5,10.2,0.38,2.83
Mithpukur,Palashbari,high ground,loam,5.10,2.05,0.11,0.37,189.3,36.1,0.57,2.09
Mithpukur,Palashbari,high ground,loam,5.40,1.26,0.07,0.18,27.8,8.3,0.42,0.57
Mithpukur,Palashbari,high ground,loam,5.00,1.51,0.08,0.15,37.2,7.0,0.46,0.48
Mithpukur,Palashbari,high ground,loam,5.00,1.71,0.10,0.22,35.2,8.1,0.34,0.58
Mithpukur,Berries,high ground,loam,6.10,1.62,0.09,0.06,19.2,12.6,0.31,0.55
Mithpukur,Gangachara,high ground,loam,5.20,1.99,0.11,0.15,37.4,17.4,0.38,0.80
Mithpukur,Gangachara,high ground,loam,5.10,1.70,0.10,0.29,47.1,15.7,0.31,1.14
Mithpukur,Gangachara,Medium high land,loam,5.20,1.50,0.10,0.12,42.0,1.2,0.32,0.38
Mithpukur,Pirgacha,high ground,loam,4.60,1.42,0.11,0.13,34.2,1.9,0.30,0.74
Mithpukur,Pirgacha,high ground,loam,4.80,1.82,0.08,0.80,189.7,49.2,0.38,2.94
Mithpukur,Pirgacha,high ground,loam,4.70,1.53,0.08,0.23,116.5,70.8,0.53,0.70
Mithpukur,Pirgacha,high ground,loam,4.90,1.02,0.05,0.17,41.8,8.9,0.20,0.40
Mithpukur,Pirgacha,high ground,loam,5.40,1.60,0.07,0.38,128.9,15.6,0.44,1.13
Mithpukur,Pirgacha,high ground,loam,5.20,1.24,0.07,0.37,154.4,11.1,0.34,1.10
Mithpukur,Pirgacha,high ground,loam,5.10,1.07,0.06,0.17,67.4,12.3,0.23,0.56
Mithpukur,Pirgacha,high ground,loam,5.00,0.98,0.06,0.12,12.9,6.3,0.31,0.62
Mithpukur,Palashbari,high ground,loam,5.10,1.21,0.06,0.08,6.6,5.0,0.41,0.39
Mithpukur,Palashbari,high ground,loam,4.60,1.61,0.10,0.44,52.8,28.3,0.46,0.62
Mithpukur,Palashbari,high ground,loam,5.20,1.47,0.08,0.33,33.4,13.0,0.20,0.72
Mithpukur,Palashbari,high ground,loam,5.40,1.77,0.09,0.13,51.8,11.50,0.30,0.54
